Time,Aggregate
2026-07-13 00:00:00,297.199396647879
2026-07-13 00:00:08,304.24031759943966
2026-07-13 00:00:16,291.060759283887
2026-07-13 00:00:24,283.2966489294198
2026-07-13 00:00:32,289.25489285222454
2026-07-13 00:00:40,308.07111870864304
2026-07-13 00:00:48,267.89023520283223
2026-07-13 00:00:56,298.3658049226838
2026-07-13 00:01:04,289.7594338365618
2026-07-13 00:01:12,296.42205972714515
2026-07-13 00:01:20,295.05892660145685
2026-07-13 00:01:28,306.28369619575096
2026-07-13 00:01:36,288.77695063006877
2026-07-13 00:01:44,299.62421860471744
2026-07-13 00:01:52,289.6069205152705
2026-07-13 00:02:00,275.5975943743631
2026-07-13 00:02:08,304.45695394039757
2026-07-13 00:02:16,289.7233176840024
2026-07-13 00:02:24,315.9279512996836
2026-07-13 00:02:32,310.38561139228005
2026-07-13 00:02:40,284.49785206867034
2026-07-13 00:02:48,281.7019192103815
2026-07-13 00:02:56,297.4970104547226
2026-07-13 00:03:04,285.25654000442
2026-07-13 00:03:12,278.3197465327695
2026-07-13 00:03:20,322.5595757828258
2026-07-13 00:03:28,308.333242123335
2026-07-13 00:03:36,301.8398248533289
2026-07-13 00:03:44,316.90246794885275
2026-07-13 00:03:52,295.05386081312264
2026-07-13 00:04:00,317.46713320832737
2026-07-13 00:04:08,306.6067828908556
2026-07-13 00:04:16,292.01989564558374
2026-07-13 00:04:24,294.8402702167662
2026-07-13 00:04:32,303.89979402858535
2026-07-13 00:04:40,292.57916575170265
2026-07-13 00:04:48,307.09617120586404
2026-07-13 00:04:56,291.9247538922449
2026-07-13 00:05:04,298.55187340164167
2026-07-13 00:05:12,293.0375802889547
2026-07-13 00:05:20,294.2965378750888
2026-07-13 00:05:28,331.80849989629553
2026-07-13 00:05:36,313.770888739461
2026-07-13 00:05:44,289.07562224358327
2026-07-13 00:05:52,300.2463495845118
2026-07-13 00:06:00,275.5329546877449
2026-07-13 00:06:08,312.775441761251
2026-07-13 00:06:16,297.7752238924908
2026-07-13 00:06:24,285.4601505841125
2026-07-13 00:06:32,313.69257643439136
2026-07-13 00:06:40,150.80053066190226
2026-07-13 00:06:48,163.93210601777997
2026-07-13 00:06:56,167.09143887341946
2026-07-13 00:07:04,150.32692348699865
2026-07-13 00:07:12,163.12359962572626
2026-07-13 00:07:20,124.44376344705515
2026-07-13 00:07:28,139.97063125561885
2026-07-13 00:07:36,153.86701346826854
2026-07-13 00:07:44,138.46080092563605
2026-07-13 00:07:52,145.60695698877998
2026-07-13 00:08:00,169.36465040342372
2026-07-13 00:08:08,140.0174026358354
2026-07-13 00:08:16,161.36718647261435
2026-07-13 00:08:24,147.8158797522388
2026-07-13 00:08:32,156.1948279846505
2026-07-13 00:08:40,151.3733031663669
2026-07-13 00:08:48,158.71659841186454
2026-07-13 00:08:56,152.38855132957605
2026-07-13 00:09:04,143.2636889401023
2026-07-13 00:09:12,166.3115173831144
2026-07-13 00:09:20,163.7142592889922
2026-07-13 00:09:28,158.4712185172328
2026-07-13 00:09:36,132.81153495412505
2026-07-13 00:09:44,160.0982150205664
2026-07-13 00:09:52,152.2846266681817
2026-07-13 00:10:00,154.21028397939475
2026-07-13 00:10:08,150.6579170599749
2026-07-13 00:10:16,176.55976833414454
2026-07-13 00:10:24,142.38042101348964
2026-07-13 00:10:32,148.5430229701784
2026-07-13 00:10:40,163.7388544767914
2026-07-13 00:10:48,158.3784879220458
2026-07-13 00:10:56,137.69411495489177
2026-07-13 00:11:04,169.09710245894473
2026-07-13 00:11:12,123.79459169869708
2026-07-13 00:11:20,134.2826784638984
