Time,Unix,Aggregate,Appliance1,Appliance2,Appliance3,Appliance4,Appliance5,Appliance6,Appliance7,Appliance8,Appliance9
2014-04-01 00:00:00,1396290600,213.0,111.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0
2014-04-01 00:00:09,1396290609,212.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0
2014-04-01 00:00:17,1396290617,185.0,122.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0
2014-04-01 00:00:27,1396290627,162.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:50,1396290710,,123.0,0.0,0.0,0.0,1.0,2192.0,0.0,0.0,0.0
2014-04-01 00:01:59,1396290719,2404.0,114.0,0.0,0.0,0.0,1.0,2199.0,0.0,43.0,0.0
2014-04-01 00:02:09,1396290729,2381.0,113.0,0.0,0.0,0.0,1.0,2218.0,0.0,0.0,0.0
2014-04-01 00:02:16,1396290736,2394.0,128.0,0.0,0.0,0.0,1.0,2205.0,0.0,0.0,
2014-04-01 00:02:24,1396290744,2341.0,114.0,0.0,0.0,,0.0,2130.0,0.0,47.0,0.0
2014-04-01 00:02:31,1396290751,2397.0,109.0,0.0,0.0,0.0,0.0,2230.0,0.0,0.0,0.0
2014-04-01 00:02:41,1396290761,2417.0,117.0,0.0,0.0,0.0,0.0,2246.0,0.0,0.0,0.0
2014-04-01 00:02:47,1396290767,2417.0,118.0,0.0,0.0,0.0,0.0,2247.0,0.0,0.0,0.0
2014-04-01 00:02:53,1396290773,190.0,119.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
2014-04-01 00:03:01,1396290781,169.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:03:08,1396290788,188.0,118.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2014-04-01 00:03:18,1396290798,171.0,116.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:03:24,1396290804,187.0,117.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0
2014-04-01 00:03:30,1396290810,177.0,124.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0
2014-04-01 00:03:40,1396290820,241.0,120.0,0.0,0.0,0.0,1.0,0.0,15.0,43.0,0.0
2014-04-01 00:03:48,1396290828,178.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:03:57,1396290837,182.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:04:32,1396290872,186.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:04:42,1396290882,163.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:04:50,1396290890,168.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:04:59,1396290899,180.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:05:09,1396290909,166.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:05:15,1396290915,181.0,119.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0
2014-04-01 00:05:25,1396290925,181.0,122.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2014-04-01 00:05:34,1396290934,196.0,129.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0
2014-04-01 00:05:42,1396290942,186.0,115.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0
2014-04-01 00:05:52,1396290952,177.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:06:02,1396290962,178.0,124.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:06:11,1396290971,169.0,107.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0
2014-04-01 00:06:21,1396290981,181.0,127.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2014-04-01 00:06:31,1396290991,178.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:06:37,1396290997,184.0,120.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0
2014-04-01 00:06:43,1396291003,162.0,109.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:06:51,1396291011,171.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
