Time,Unix,Aggregate,Appliance1,Appliance2,Appliance3,Appliance4,Appliance5,Appliance6,Appliance7,Appliance8,Appliance9
2014-04-01 00:00:00,1396290600,169.0,121.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:07,1396290607,181.0,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:16,1396290616,169.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:26,1396290626,174.0,116.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:35,1396290635,192.0,124.0,0.0,0.0,0.0,,0.0,13.0,0.0,0.0
2014-04-01 00:00:41,1396290641,188.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2014-04-01 00:00:49,1396290649,168.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:57,1396290657,164.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:03,1396290663,152.0,109.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2014-04-01 00:01:11,1396290671,168.0,118.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:18,1396290678,1280.0,117.0,0.0,0.0,0.0,1103.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:25,1396290685,1262.0,116.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:33,1396290693,1285.0,119.0,0.0,0.0,0.0,1109.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:42,1396290702,1267.0,117.0,0.0,0.0,0.0,1105.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:48,1396290708,1291.0,124.0,0.0,0.0,0.0,1114.0,0.0,0.0,0.0,0.0
2014-04-01 00:01:55,1396290715,1261.0,109.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2014-04-01 00:02:05,1396290725,1268.0,128.0,0.0,0.0,0.0,1092.0,0.0,0.0,,0.0
2014-04-01 00:02:14,1396290734,1321.0,114.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0
2014-04-01 00:02:21,1396290741,1296.0,129.0,0.0,0.0,0.0,1114.0,0.0,0.0,0.0,0.0
