Time,Aggregate,Fridge_Freezer,Fridge_Freezer_ON,Tumble_Dryer,Tumble_Dryer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Food_Mixer,Food_Mixer_ON,Television,Television_ON,Kettle_Toaster,Kettle_Toaster_ON,Vivarium,Vivarium_ON,Pond_Pump,Pond_Pump_ON
2014-04-01 00:00:00,158.0,109.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,177.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,178.5,118.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,5.0,0
2014-04-01 00:00:24,175.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,218.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,48.0,1,0.0,0
2014-04-01 00:00:40,178.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,168.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,182.5,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,197.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,12.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,1977.0,119.0,1,1806.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,1984.0,115.0,1,1772.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:01:28,1925.0,123.0,1,1746.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,2110.0,125.0,1,1936.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,1952.0,119.0,1,1783.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,1940.0,125.0,1,1754.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,1982.0,119.0,1,1795.0,1,0.0,0,0.0,0,0.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,2006.0,120.0,1,1837.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,1947.5,123.0,1,1767.5,1,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,1992.75,122.5,1,1817.5,1,0.0,0,0.0,0,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,2038.0,122.0,1,1867.5,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,1939.0,122.0,1,1715.0,1,0.0,0,0.0,0,0.0,0,0.0,0,15.0,0,43.0,1,0.0,0
2014-04-01 00:02:48,2030.0,117.0,1,1849.0,1,0.0,0,0.0,0,0.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,2059.0,121.0,1,1870.5,1,0.0,0,0.0,0,0.0,0,0.0,0,14.5,0,0.0,0,0.0,0
2014-04-01 00:03:04,2088.0,125.0,1,1892.0,1,0.0,0,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,1969.0,124.0,1,1799.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,3188.0,119.0,1,1779.0,1,1230.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:03:28,3286.0,122.0,1,1817.0,1,1278.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,3142.0,119.0,1,1768.0,1,1211.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,3203.0,110.0,1,1755.0,1,1284.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,3206.0,121.0,1,1828.0,1,1203.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,3000.0,110.0,1,1683.0,1,1145.0,1,0.0,0,0.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,3247.0,115.0,1,1843.0,1,1245.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,3224.0,116.0,1,1823.0,1,1227.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,3095.0,114.0,1,1683.0,1,1241.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,3186.0,126.0,1,1721.0,1,1234.0,1,0.0,0,1.0,0,0.0,0,0.0,0,43.0,1,9.0,0
2014-04-01 00:04:40,3304.0,131.0,1,1876.0,1,1251.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,3179.0,115.0,1,1845.0,1,1171.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:56,3211.0,118.0,1,1867.0,1,1173.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,3217.0,115.0,1,1839.0,1,1207.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,3119.0,123.0,1,1756.0,1,1185.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,3212.0,112.0,1,1844.0,1,1200.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:28,3231.0,123.0,1,1819.0,1,1223.0,1,0.0,0,0.0,0,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,3169.0,120.0,1,1786.0,1,1188.0,1,0.0,0,0.0,0,0.0,0,16.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,3239.5,122.0,1,1818.5,1,1203.5,1,0.0,0,0.0,0,0.0,0,14.5,0,22.0,1,0.0,0
2014-04-01 00:05:52,3310.0,124.0,1,1851.0,1,1219.0,1,0.0,0,0.0,0,0.0,0,13.0,0,44.0,1,0.0,0
2014-04-01 00:06:00,3136.0,128.0,1,1757.0,1,1183.0,1,0.0,0,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:06:08,3156.0,124.0,1,1755.0,1,1199.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,9.0,0
2014-04-01 00:06:16,3112.0,108.0,1,1704.0,1,1239.0,1,0.0,0,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,3124.0,128.0,1,1772.0,1,1173.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:32,3128.0,121.0,1,1783.0,1,1178.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:40,3209.0,120.0,1,1843.0,1,1182.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,4276.0,121.0,1,1760.0,1,1226.0,1,0.0,0,1114.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:56,4349.0,126.5,1,1823.5,1,1213.0,1,0.0,0,1115.0,1,0.0,0,0.0,0,23.0,1,0.0,0
2014-04-01 00:07:04,4422.0,132.0,1,1887.0,1,1200.0,1,0.0,0,1116.0,1,0.0,0,0.0,0,46.0,1,0.0,0
2014-04-01 00:07:12,4124.0,118.0,1,1646.0,1,1193.75,1,0.0,0,1120.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:20,4230.5,127.0,1,1743.0,1,1187.5,1,0.0,0,1117.5,1,0.0,0,7.5,0,0.0,0,0.0,0
2014-04-01 00:07:28,2702.0,120.0,1,258.0,1,1190.0,1,0.0,0,1075.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,2694.0,121.0,1,258.0,1,1136.0,1,0.0,0,1125.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:44,2755.0,114.0,1,278.0,1,1198.0,1,0.0,0,1110.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,2174.0,57.5,1,269.0,1,678.0,1,0.0,0,1112.5,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:00,1593.0,1.0,0,260.0,1,158.0,1,0.0,0,1115.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:08,1609.0,1.0,0,267.0,1,173.0,1,0.0,0,1096.0,1,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:08:16,1516.0,1.0,0,223.0,1,144.0,1,0.0,0,1100.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:24,1541.0,1.0,0,230.0,1,160.0,1,0.0,0,1103.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:32,1563.0,1.0,0,288.0,1,136.0,1,0.0,0,1091.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,1007.5,1.0,0,256.5,1,149.0,1,0.0,0,539.5,1,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,1538.0,1.0,0,260.0,1,143.0,1,0.0,0,1096.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:56,1538.0,1.0,0,242.0,1,141.0,1,0.0,0,1101.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:04,1563.0,1.0,0,241.0,1,151.0,1,0.0,0,1118.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:12,1590.0,1.0,0,233.0,1,151.0,1,0.0,0,1105.0,1,0.0,0,0.0,0,44.0,1,0.0,0
2014-04-01 00:09:20,1580.0,1.0,0,250.0,1,154.0,1,0.0,0,1122.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:28,3695.0,1.0,0,263.0,1,152.5,1,0.0,0,1099.0,1,2137.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:36,3683.0,1.0,0,206.0,1,151.0,1,0.0,0,1130.0,1,2150.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:44,3809.0,1.0,0,270.0,1,135.0,1,0.0,0,1105.0,1,2245.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:52,3734.0,1.0,0,248.0,1,152.0,1,0.0,0,1085.0,1,2180.0,1,0.0,0,0.0,0,9.0,0
2014-04-01 00:10:00,3689.0,1.0,0,210.0,1,140.0,1,0.0,0,1110.0,1,2182.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:08,3757.0,1.0,0,244.0,1,159.0,1,0.0,0,1150.0,1,2155.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:16,2714.0,1.0,0,246.0,1,145.0,1,0.0,0,0.0,0,2268.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:24,2756.0,1.0,0,264.0,1,149.0,1,0.0,0,1.0,0,2271.0,1,13.0,0,0.0,0,0.0,0
2014-04-01 00:10:32,411.0,1.0,0,206.0,1,150.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:40,412.0,1.0,0,231.0,1,128.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:48,458.0,1.0,0,264.0,1,143.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:56,457.0,1.0,0,234.0,1,153.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:11:04,454.0,1.0,0,243.5,1,149.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.5,0
2014-04-01 00:11:12,451.0,1.0,0,253.0,1,145.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:20,472.0,1.0,0,271.0,1,148.0,1,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:28,493.0,1.0,0,289.0,1,151.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:36,482.5,1.0,0,250.0,1,144.5,1,0.0,0,0.5,0,0.0,0,7.0,0,22.5,1,0.0,0
2014-04-01 00:11:44,480.75,1.0,0,255.0,1,149.25,1,0.0,0,0.25,0,0.0,0,11.0,0,11.25,1,0.0,0
2014-04-01 00:11:52,479.0,1.0,0,260.0,1,154.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:12:00,447.5,1.0,0,252.0,1,147.5,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:12:08,478.75,1.0,0,275.5,1,146.25,1,0.0,0,1.0,0,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:12:16,510.0,1.0,0,299.0,1,145.0,1,0.0,0,1.0,0,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:12:24,494.0,1.0,0,257.0,1,169.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:12:32,437.0,1.0,0,232.0,1,152.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:12:40,444.0,1.0,0,247.0,1,139.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:12:48,467.0,1.0,0,252.0,1,148.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:12:56,455.0,1.0,0,215.0,1,163.0,1,0.0,0,1.0,0,0.0,0,17.0,0,0.0,0,0.0,0
2014-04-01 00:13:04,452.0,1.0,0,238.0,1,162.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:13:12,450.0,1.0,0,234.0,1,159.25,1,0.0,0,0.75,0,0.0,0,0.0,0,10.75,1,0.0,0
2014-04-01 00:13:20,448.0,1.0,0,230.0,1,156.5,1,0.0,0,0.5,0,0.0,0,0.0,0,21.5,1,0.0,0
2014-04-01 00:13:28,483.0,1.0,0,262.0,1,167.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:13:36,482.0,1.0,0,259.0,1,152.0,1,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:13:44,470.75,1.0,0,250.25,1,150.5,1,0.0,0,0.0,0,0.0,0,7.5,0,11.0,1,0.0,0
2014-04-01 00:13:52,459.5,1.0,0,241.5,1,149.0,1,0.0,0,0.0,0,0.0,0,0.0,0,22.0,1,0.0,0
2014-04-01 00:14:00,428.75,1.0,0,226.25,1,142.5,1,0.0,0,0.5,0,0.0,0,0.0,0,11.0,1,0.0,0
2014-04-01 00:14:08,398.0,1.0,0,211.0,1,136.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:14:16,437.0,1.0,0,228.0,1,140.0,1,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
