Time,Aggregate,Fridge,Fridge_ON,Freezer_Garage,Freezer_Garage_ON,Freezer,Freezer_ON,Tumble_Dryer,Tumble_Dryer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Television_Site,Television_Site_ON,Toaster,Toaster_ON,Kettle,Kettle_ON
2014-04-01 00:00:00,161.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,264.0,115.0,1,0.0,0,0.0,0,84.0,1,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:00:16,245.0,123.0,1,0.0,0,0.0,0,77.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,260.0,129.0,1,0.0,0,0.0,0,76.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,254.0,112.0,1,0.0,0,0.0,0,82.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,256.0,121.0,1,0.0,0,0.0,0,80.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,256.5,121.0,1,0.0,0,0.0,0,79.25,1,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,257.0,121.0,1,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,254.0,119.0,1,0.0,0,0.0,0,78.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,275.0,129.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,316.0,126.0,1,0.0,0,0.0,0,78.0,1,0.0,0,0.0,0,14.0,1,44.0,0,0.0,0
2014-04-01 00:01:28,252.0,118.0,1,0.0,0,0.0,0,79.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,250.0,117.0,1,0.0,0,0.0,0,83.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,254.0,122.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,248.0,114.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,263.0,114.0,1,0.0,0,0.0,0,87.0,1,1.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:02:08,262.0,125.0,1,0.0,0,0.0,0,84.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,276.0,125.0,1,0.0,0,0.0,0,85.0,1,0.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:02:24,275.0,120.0,1,0.0,0,0.0,0,87.0,1,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:02:32,241.0,122.0,1,0.0,0,0.0,0,76.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,258.0,114.0,1,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,268.0,110.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:02:56,270.0,114.0,1,0.0,0,0.0,0,83.0,1,0.5,0,0.0,0,14.5,1,0.0,0,0.0,0
2014-04-01 00:03:04,272.0,118.0,1,0.0,0,0.0,0,85.0,1,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:03:12,297.0,121.0,1,0.0,0,0.0,0,82.0,1,1.0,0,0.0,0,0.0,0,42.0,0,0.0,0
2014-04-01 00:03:20,299.0,117.0,1,0.0,0,0.0,0,84.0,1,0.0,0,0.0,0,0.0,0,47.0,0,0.0,0
2014-04-01 00:03:28,249.0,118.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,255.0,121.0,1,0.0,0,0.0,0,79.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,258.0,118.0,1,0.0,0,0.0,0,84.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,261.72727272727275,118.36363636363636,1,0.0,0,0.0,0,83.9090909090909,1,0.0,0,0.0,0,0.0,0,3.909090909090909,0,0.0,0
2014-04-01 00:04:00,265.45454545454544,118.72727272727273,1,0.0,0,0.0,0,83.81818181818181,1,0.0,0,0.0,0,0.0,0,7.818181818181818,0,0.0,0
2014-04-01 00:04:08,269.1818181818182,119.0909090909091,1,0.0,0,0.0,0,83.72727272727273,1,0.0,0,0.0,0,0.0,0,11.727272727272727,0,0.0,0
2014-04-01 00:04:16,272.90909090909093,119.45454545454545,1,0.0,0,0.0,0,83.63636363636364,1,0.0,0,0.0,0,0.0,0,15.636363636363637,0,0.0,0
2014-04-01 00:04:24,276.6363636363636,119.81818181818181,1,0.0,0,0.0,0,83.54545454545455,1,0.0,0,0.0,0,0.0,0,19.545454545454547,0,0.0,0
2014-04-01 00:04:32,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:56,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,299.0,122.0,1,0.0,0,0.0,0,83.0,1,0.0,0,0.0,0,0.0,0,43.0,0,0.0,0
2014-04-01 00:05:20,257.0,125.0,1,0.0,0,0.0,0,74.0,1,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:05:28,299.0,114.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,0.0,0,46.0,0,0.0,0
2014-04-01 00:05:36,253.0,128.0,1,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,244.0,110.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,257.0,126.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,255.0,108.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:08,257.0,118.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,264.0,126.0,1,0.0,0,0.0,0,76.0,1,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:06:24,247.0,120.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:32,258.0,119.0,1,0.0,0,0.0,0,76.0,1,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:06:40,247.0,120.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,252.66666666666666,123.0,1,0.0,0,0.0,0,79.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:56,258.3333333333333,126.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:04,264.0,123.0,1,0.0,0,0.0,0,81.0,1,0.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:07:12,258.5,118.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:07:20,260.0,125.0,1,0.0,0,0.0,0,80.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,263.0,121.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,268.0,123.0,1,0.0,0,0.0,0,79.0,1,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:07:44,251.0,112.0,1,0.0,0,0.0,0,83.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,275.0,128.0,1,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:08:00,271.0,120.0,1,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:08:08,277.0,126.0,1,0.0,0,0.0,0,83.0,1,0.0,0,0.0,0,12.0,1,0.0,0,0.0,0
2014-04-01 00:08:16,267.0,128.0,1,0.0,0,0.0,0,82.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:24,264.0,124.0,1,0.0,0,0.0,0,79.5,1,0.0,0,0.0,0,7.5,0,0.0,0,0.0,0
2014-04-01 00:08:32,261.0,120.0,1,0.0,0,0.0,0,77.0,1,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:08:40,266.0,121.0,1,0.0,0,0.0,0,82.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,305.0,125.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,0.0,0,48.0,0,0.0,0
