Time,Aggregate,Magimix_Blender,Magimix_Blender_ON,Freezer,Freezer_ON,Chest_Freezer_In_Garage,Chest_Freezer_In_Garage_ON,Fridge_Freezer,Fridge_Freezer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON,Kenwood_KMix,Kenwood_KMix_ON
2014-04-01 00:00:00,180.0,117.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,197.0,119.25,1,0.0,0,0.0,0,0.0,0,0.75,0,0.0,0,3.5,0,23.5,0,0.0,0
2014-04-01 00:00:16,214.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,47.0,0,0.0,0
2014-04-01 00:00:24,189.5,117.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,21.5,0,0.0,0
2014-04-01 00:00:32,180.75,119.25,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,10.75,0,0.0,0
2014-04-01 00:00:40,172.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,187.5,124.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.5,0
2014-04-01 00:00:56,214.0,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,43.0,0,0.0,0
2014-04-01 00:01:04,223.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,0,0.0,0
2014-04-01 00:01:12,186.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:01:20,176.0,127.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,185.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:01:36,183.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,174.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,182.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:02:00,163.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,166.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,196.5,116.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0,23.0,0,0.0,0
2014-04-01 00:02:24,227.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,46.0,0,0.0,0
2014-04-01 00:02:32,169.0,117.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,172.5,121.75,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,176.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,194.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:03:04,165.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,164.375,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,163.75,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,163.125,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,162.5,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,161.875,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,160.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,169.25,121.75,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
