Time,Aggregate,Fridge_Freezer,Fridge_Freezer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Television,Television_ON,Microwave,Microwave_ON,Toaster,Toaster_ON,Hi_Fi,Hi_Fi_ON,Kettle,Kettle_ON,Oven_Extractor_Fan,Oven_Extractor_Fan_ON
2014-04-01 00:00:00,162.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,180.0,126.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,191.0,118.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,21.5,0,0.0,0
2014-04-01 00:00:24,209.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,45.0,0,0.0,0
2014-04-01 00:00:32,180.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:00:40,176.0,129.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,164.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,193.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:01:04,177.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,164.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,192.0,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,22.0,0,0.0,0
2014-04-01 00:01:28,220.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.0,0,0.0,0
2014-04-01 00:01:36,1895.0,114.0,1,1721.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,1979.0,123.0,1,1809.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,1934.0,115.0,1,1766.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,1974.0,121.0,1,1787.0,1,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:02:08,1975.0,125.0,1,1800.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,2093.0,119.0,1,1905.0,1,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:02:24,1922.0,124.0,1,1734.0,1,0.0,0,0.0,0,0.0,0,0.0,0,12.0,1,0.0,0,0.0,0
2014-04-01 00:02:32,1982.5,113.5,1,1816.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,1969.25,117.25,1,1802.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,1956.0,121.0,1,1788.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,2040.0,118.0,1,1847.0,1,0.0,0,0.0,0,0.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:03:04,1977.0,112.0,1,1815.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,1992.0,117.0,1,1820.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,1943.0,126.0,1,1767.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,1980.0,116.0,1,1812.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,1975.0,120.0,1,1804.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,2454.5,119.0,1,1707.0,1,0.0,0,0.0,0,560.0,1,0.0,0,0.0,0,22.5,0,0.0,0
2014-04-01 00:03:52,3158.0,121.0,1,1833.0,1,0.0,0,0.0,0,1085.0,1,0.0,0,16.0,1,45.0,0,0.0,0
2014-04-01 00:04:00,3158.0,122.0,1,1858.0,1,0.0,0,0.0,0,1131.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,3118.0,122.0,1,1858.5,1,0.0,0,0.0,0,1093.5,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,3078.0,122.0,1,1859.0,1,0.0,0,0.0,0,1056.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,3065.0,124.0,1,1796.0,1,0.0,0,0.0,0,1099.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,3131.0,122.0,1,1846.0,1,0.0,0,0.0,0,1094.0,1,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:04:40,1906.0,120.0,1,1728.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,1944.0,110.5,1,1773.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,0
2014-04-01 00:04:56,1960.0,118.0,1,1793.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,2048.0,116.0,1,1865.0,1,0.0,0,0.0,0,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
