Time,Aggregate,Fridge,Fridge_ON,Freezer,Freezer_ON,Fridge_Freezer,Fridge_Freezer_ON,Washing_Machine_1,Washing_Machine_1_ON,Washing_Machine_2,Washing_Machine_2_ON,Computer_Site,Computer_Site_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON
2014-04-01 00:00:00,167.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,184.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,168.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,171.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,172.5,120.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,185.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:00:48,162.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,176.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,179.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,207.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,41.0,0,0.0,0
2014-04-01 00:01:20,189.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:01:28,181.0,127.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,171.0,117.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,175.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,237.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,1,47.0,0,0.0,0
2014-04-01 00:02:00,172.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,174.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.3333333333333335,0,0.0,0,0.0,0
2014-04-01 00:02:16,179.0,119.75,1,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,4.666666666666667,0,0.0,0,0.0,0
2014-04-01 00:02:24,184.0,120.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,179.25,119.25,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.25,0,0.0,0,0.0,0
2014-04-01 00:02:40,174.5,118.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.5,0,0.0,0,0.0,0
2014-04-01 00:02:48,164.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,161.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,169.0,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,177.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,182.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:03:28,166.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.666666666666666,1,0.0,0,0.0,0
2014-04-01 00:03:36,177.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.333333333333334,1,0.0,0,0.0,0
2014-04-01 00:03:44,231.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,1,44.0,0,0.0,0
2014-04-01 00:03:52,174.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,175.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,187.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:04:16,160.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,196.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:04:32,181.5,117.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,160.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,190.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,17.0,1,0.0,0,0.0,0
2014-04-01 00:04:56,174.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,163.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,170.5,114.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,181.25,116.25,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,11.0,0,0.0,0
2014-04-01 00:05:28,192.0,118.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,22.0,0,0.0,0
2014-04-01 00:05:36,181.0,118.75,1,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,0.0,0,11.0,0,0.0,0
2014-04-01 00:05:44,170.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,174.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,179.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:08,179.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,175.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,176.0,129.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:32,181.5,118.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,4.5,0
2014-04-01 00:06:40,183.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:48,183.0,121.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:06:56,183.0,130.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:04,162.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:12,174.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:20,172.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,180.0,123.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,164.83333333333334,116.5,1,0.0,0,0.0,0,0.0,0,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:44,149.66666666666666,110.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,134.5,60.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,23.5,0,0.0,0
2014-04-01 00:08:00,98.75,30.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,3.25,0,11.75,0,2.5,0
2014-04-01 00:08:08,63.0,1.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,6.5,0,0.0,0,5.0,0
2014-04-01 00:08:16,97.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42.0,0,0.0,0
2014-04-01 00:08:24,75.25,1.0,0,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,0.0,0,21.0,0,0.0,0
2014-04-01 00:08:32,53.5,1.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,53.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,51.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:56,58.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:04,58.45454545454545,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.2727272727272727,0,0.0,0,0.0,0
2014-04-01 00:09:12,58.90909090909091,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.5454545454545454,0,0.0,0,0.0,0
2014-04-01 00:09:20,59.36363636363637,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.8181818181818183,0,0.0,0,0.0,0
2014-04-01 00:09:28,59.81818181818182,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.090909090909091,0,0.0,0,0.0,0
2014-04-01 00:09:36,60.27272727272727,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.363636363636363,0,0.0,0,0.0,0
2014-04-01 00:09:44,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
