Time,Aggregate,Fridge,Fridge_ON,Freezer,Freezer_ON,Dryer,Dryer_ON,Washing_Machine,Washing_Machine_ON,Toaster,Toaster_ON,Computer,Computer_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON
2014-04-01 00:00:00,164.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,1248.5,117.5,1,0.0,0,0.0,0,0.0,0,0.5,0,1074.5,1,7.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,2384.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2221.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,2385.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2206.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,2373.5,122.0,1,0.0,0,0.0,0,0.0,0,0.5,0,2164.5,1,7.0,0,22.5,0,0.0,0
2014-04-01 00:00:40,2362.0,117.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2123.0,1,14.0,1,45.0,0,0.0,0
2014-04-01 00:00:48,2404.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2200.5,1,0.0,0,24.0,0,0.0,0
2014-04-01 00:00:56,2367.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2197.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,2333.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2165.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,2387.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2208.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,2436.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2252.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,194.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:01:36,191.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,11.0,0
2014-04-01 00:01:44,165.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,181.0,127.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
