Time,Aggregate,Television_Site,Television_Site_ON,Unknown,Unknown_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Tumble_Dryer,Tumble_Dryer_ON,Television_Site_1,Television_Site_1_ON,Computer_Site,Computer_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON
2014-04-01 00:00:00,173.5,115.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:00:08,180.0,110.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:00:16,194.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:00:24,177.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,172.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,171.5,118.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,171.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,175.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,163.0,121.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,194.0,128.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:01:20,183.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:01:28,179.5,121.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:01:36,176.0,128.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,200.5,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0,22.0,0,4.5,0
2014-04-01 00:01:52,190.75,118.25,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.5,0,11.0,0,2.25,0
2014-04-01 00:02:00,181.0,123.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,175.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,182.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,176.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,174.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:02:40,160.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,169.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,186.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:03:04,165.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,214.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,0,0.0,0
2014-04-01 00:03:20,173.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,183.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,209.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.0,0,0.0,0
2014-04-01 00:03:44,168.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,172.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,189.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:04:08,181.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,184.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,189.0,126.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,161.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,163.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,177.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:04:56,191.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:05:04,166.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,184.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:05:20,211.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,0,0.0,0
2014-04-01 00:05:28,169.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,220.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.0,0,0.0,0
2014-04-01 00:05:44,186.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:05:52,178.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,1352.0,116.0,1,0.0,0,1166.0,1,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:08,1383.0,120.0,1,0.0,0,1208.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,1353.0,126.0,1,0.0,0,1170.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,1367.0,113.0,1,0.0,0,1185.0,1,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:06:32,1344.0,117.0,1,0.0,0,1136.0,1,0.0,0,1.0,0,0.0,0,0.0,0,42.0,0,0.0,0
2014-04-01 00:06:40,1259.0,1.0,0,0.0,0,1209.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,1212.0,1.0,0,0.0,0,1153.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
