Time,Aggregate,Fridge,Fridge_ON,Chest_Freezer,Chest_Freezer_ON,Upright_Freezer,Upright_Freezer_ON,Tumble_Dryer,Tumble_Dryer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Computer_Site,Computer_Site_ON,Television_Site,Television_Site_ON,Electric_Heater,Electric_Heater_ON
2014-04-01 00:00:00,173.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,188.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:00:16,163.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,177.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,205.5,120.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,23.5,1,0.0,0
2014-04-01 00:00:40,234.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,47.0,1,0.0,0
2014-04-01 00:00:48,210.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,1,0.0,0
2014-04-01 00:00:56,189.0,130.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,172.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,176.0,117.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,177.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,159.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,168.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,170.5,118.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,173.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,215.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.5,0,21.5,1,0.0,0
2014-04-01 00:02:08,188.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:02:16,163.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,171.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,179.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,178.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,191.0,131.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,175.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,214.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:03:12,195.75,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,177.5,120.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:03:28,220.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:03:36,183.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,168.0,112.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,172.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,183.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,170.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,157.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,169.0,128.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,160.0,109.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,199.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:04:48,189.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:04:56,225.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,41.0,1,0.0,0
2014-04-01 00:05:04,185.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:05:12,181.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,184.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:28,181.5,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,211.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.0,1,0.0,0
2014-04-01 00:05:44,198.0,116.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,21.0,1,0.0,0
2014-04-01 00:05:52,185.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:00,2395.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2201.0,1,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:08,2396.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2230.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,2334.5,121.5,1,0.0,0,0.0,0,0.0,0,0.5,0,2161.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,2416.75,117.75,1,0.0,0,0.0,0,0.0,0,0.25,0,2220.25,1,7.5,0,22.0,1,0.0,0
2014-04-01 00:06:32,2499.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2279.0,1,15.0,1,44.0,1,0.0,0
2014-04-01 00:06:40,2444.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2275.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,2398.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2210.0,1,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:56,175.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:07:04,222.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.0,1,0.0,0
2014-04-01 00:07:12,172.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:20,184.5,120.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,177.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,168.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:44,171.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,174.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:00,182.0,118.5,1,0.0,0,0.0,0,0.0,0,0.75,0,0.0,0,0.0,0,10.75,1,0.0,0
2014-04-01 00:08:08,190.0,115.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,21.5,1,0.0,0
2014-04-01 00:08:16,185.0,117.0,1,0.0,0,0.0,0,0.0,0,0.75,0,0.0,0,0.0,0,10.75,1,0.0,0
2014-04-01 00:08:24,180.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:32,175.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,186.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:08:48,169.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:56,58.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:04,68.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:09:12,50.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:20,65.0,1.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:09:28,54.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:36,52.25,1.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:44,50.5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:52,53.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:00,58.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:08,63.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:16,941.5,1.0,0,1844.0,1,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:10:24,1820.0,1.0,0,1767.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:32,1866.0,1.0,0,1806.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:40,1816.0,1.0,0,1769.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:48,1843.0,1.0,0,1765.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,20.0,1,5.0,0
2014-04-01 00:10:56,1835.0,1.0,0,1776.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:04,1865.0,1.0,0,1812.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:12,1878.0,1.0,0,1821.5,1,0.0,0,0.0,0,0.8333333333333334,0,0.0,0,2.3333333333333335,0,0.0,0,0.0,0
2014-04-01 00:11:20,1891.0,1.0,0,1831.0,1,0.0,0,0.0,0,0.6666666666666667,0,0.0,0,4.666666666666667,0,0.0,0,0.0,0
