Time,Aggregate,Appliance1,Appliance1_ON,Appliance2,Appliance2_ON,Appliance3,Appliance3_ON,Appliance4,Appliance4_ON,Appliance5,Appliance5_ON,Appliance6,Appliance6_ON,Appliance7,Appliance7_ON,Appliance8,Appliance8_ON,Appliance9,Appliance9_ON
2014-04-01 00:00:00,211.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.0,1,0.0,0
2014-04-01 00:00:08,189.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:00:16,190.0,122.33333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.88888888888889,1,0.0,0,0.0,0
2014-04-01 00:00:24,191.0,122.66666666666667,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.777777777777779,1,0.0,0,0.0,0
2014-04-01 00:00:32,192.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.666666666666666,1,0.0,0,0.0,0
2014-04-01 00:00:40,193.0,123.33333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.555555555555555,1,0.0,0,0.0,0
2014-04-01 00:00:48,194.0,123.66666666666667,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.444444444444445,1,0.0,0,0.0,0
2014-04-01 00:00:56,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,198.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:01:28,160.0,117.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,164.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,158.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,180.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,166.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,164.0,119.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,162.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,236.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,44.0,1,0.0,0
2014-04-01 00:02:32,185.0,130.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
