Time,Aggregate,Fridge_Freezer,Fridge_Freezer_ON,Tumble_Dryer,Tumble_Dryer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Computer_Site,Computer_Site_ON,Television_Site,Television_Site_ON,Combination_Microwave,Combination_Microwave_ON,Kettle,Kettle_ON,Toaster,Toaster_ON
2014-04-01 00:00:00,163.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,173.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,1305.0,124.0,1,0.0,0,0.0,0,0.0,0,1129.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,1259.0,123.0,1,0.0,0,0.0,0,0.0,0,1083.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,1260.0,114.0,1,0.0,0,0.0,0,0.0,0,1094.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,1266.0,117.5,1,0.0,0,0.0,0,0.0,0,1092.75,1,0.0,0,3.25,0,0.0,0,0.0,0
2014-04-01 00:00:48,1272.0,121.0,1,0.0,0,0.0,0,0.0,0,1091.5,1,0.0,0,6.5,0,0.0,0,0.0,0
2014-04-01 00:00:56,1274.0833333333333,121.25,1,0.0,0,0.0,0,0.0,0,1093.0416666666667,1,0.0,0,5.958333333333333,0,0.0,0,0.0,0
2014-04-01 00:01:04,1276.1666666666667,121.5,1,0.0,0,0.0,0,0.0,0,1094.5833333333333,1,0.0,0,5.416666666666667,0,0.0,0,0.0,0
2014-04-01 00:01:12,1278.25,121.75,1,0.0,0,0.0,0,0.0,0,1096.125,1,0.0,0,4.875,0,0.0,0,0.0,0
2014-04-01 00:01:20,1280.3333333333333,122.0,1,0.0,0,0.0,0,0.0,0,1097.6666666666667,1,0.0,0,4.333333333333334,0,0.0,0,0.0,0
2014-04-01 00:01:28,1282.4166666666667,122.25,1,0.0,0,0.0,0,0.0,0,1099.2083333333333,1,0.0,0,3.791666666666667,0,0.0,0,0.0,0
2014-04-01 00:01:36,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,1297.0,124.0,1,0.0,0,0.0,0,0.0,0,1110.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,1253.0,118.0,1,0.0,0,0.0,0,0.0,0,1075.5,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,1225.0,113.0,1,0.0,0,0.0,0,0.0,0,1064.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,1295.0,125.0,1,0.0,0,0.0,0,0.0,0,1113.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,1274.0,120.0,1,0.0,0,0.0,0,0.0,0,1100.75,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,1253.0,115.0,1,0.0,0,0.0,0,0.0,0,1088.5,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,1263.0,122.0,1,0.0,0,0.0,0,0.0,0,1080.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,1268.0,123.0,1,0.0,0,0.0,0,0.0,0,1095.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,1282.0,123.0,1,0.0,0,0.0,0,0.0,0,1102.0,1,0.0,0,0.0,0,0.0,0,4.5,0
2014-04-01 00:03:36,1296.0,123.0,1,0.0,0,0.0,0,0.0,0,1109.0,1,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:03:44,200.0,116.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,0,21.0,0,0.0,0
2014-04-01 00:03:52,173.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,166.0,110.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,221.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,41.0,0,0.0,0
2014-04-01 00:04:16,175.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,176.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,168.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,250.0,124.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.0,0,48.0,0,0.0,0
2014-04-01 00:04:48,169.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:56,172.0,108.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,176.0,111.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,173.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,157.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:28,170.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,170.5,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,171.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,167.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,178.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:08,176.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,177.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,226.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,0,43.0,0,0.0,0
2014-04-01 00:06:32,162.0,110.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:40,175.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1078.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,2333.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2157.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:56,2298.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2132.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:04,2325.0,120.0,1,0.0,0,0.0,0,0.0,0,0.5,0,2152.0,1,0.0,0,0.0,0,10.0,0
2014-04-01 00:07:12,2421.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2237.0,1,0.0,0,0.0,0,9.0,0
2014-04-01 00:07:20,2378.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2208.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,2319.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2125.0,1,14.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,2392.0,129.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2211.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:44,2400.0,126.5,1,0.0,0,0.0,0,0.0,0,1.0,0,2222.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,2408.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2234.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:00,2454.0,114.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2270.0,1,16.0,0,0.0,0,0.0,0
2014-04-01 00:08:08,2438.0,121.5,1,0.0,0,0.0,0,0.0,0,0.0,0,2241.5,1,0.0,0,23.5,0,0.0,0
2014-04-01 00:08:16,176.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:24,199.0,120.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:32,222.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,167.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,161.0,109.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:56,179.0,110.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.75,0,11.75,0,0.0,0
2014-04-01 00:09:04,197.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.5,0,23.5,0,0.0,0
2014-04-01 00:09:12,215.0,113.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11.25,0,35.25,0,0.0,0
2014-04-01 00:09:20,233.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,0,47.0,0,0.0,0
2014-04-01 00:09:28,54.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:36,53.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
