Time,Aggregate,Freezer_Garage,Freezer_Garage_ON,Fridge_Freezer,Fridge_Freezer_ON,Tumble_Dryer_Garage,Tumble_Dryer_Garage_ON,Washing_Machine,Washing_Machine_ON,Computer_Site,Computer_Site_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON,Plug_Site_Bedroom,Plug_Site_Bedroom_ON
2014-04-01 00:00:00,213.0,111.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,45.0,0,0.0,0
2014-04-01 00:00:08,212.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,44.0,0,0.0,0
2014-04-01 00:00:16,185.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,162.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,365.8181818181818,112.2,1,0.0,0,0.0,0,0.0,0,0.1,0,219.2,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,569.6363636363636,113.4,1,0.0,0,0.0,0,0.0,0,0.2,0,438.4,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,773.4545454545455,114.6,1,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,657.5999999999999,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,977.2727272727273,115.8,1,0.0,0,0.0,0,0.0,0,0.4,0,876.8,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,1181.090909090909,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,1096.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,0.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2192.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,2404.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2199.0,1,0.0,0,43.0,0,0.0,0
2014-04-01 00:02:00,2392.5,113.5,1,0.0,0,0.0,0,0.0,0,1.0,0,2208.5,1,0.0,0,21.5,0,0.0,0
2014-04-01 00:02:08,2381.0,113.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2218.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,2394.0,128.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2205.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,2369.0,111.5,1,0.0,0,0.0,0,0.0,0,0.0,0,2180.0,1,0.0,0,23.5,0,0.0,0
2014-04-01 00:02:32,2393.0,114.5,1,0.0,0,0.0,0,0.0,0,0.0,0,2213.25,1,0.0,0,11.75,0,0.0,0
2014-04-01 00:02:40,2417.0,117.5,1,0.0,0,0.0,0,0.0,0,0.0,0,2246.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,190.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,169.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,188.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,171.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,187.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,177.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,10.0,1
2014-04-01 00:03:36,241.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,43.0,0,0.0,0
2014-04-01 00:03:44,178.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,182.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,182.8,118.6,1,0.0,0,0.0,0,0.0,0,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,183.6,120.2,1,0.0,0,0.0,0,0.0,0,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,184.4,121.8,1,0.0,0,0.0,0,0.0,0,0.3999999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,185.2,123.4,1,0.0,0,0.0,0,0.0,0,0.19999999999999996,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,186.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,163.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,168.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:56,180.0,129.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:04,166.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,181.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,181.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:05:28,196.0,129.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,186.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,181.5,117.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,177.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,178.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:08,169.0,107.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:06:16,181.0,127.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,178.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:32,184.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:06:40,162.0,109.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,171.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:56,222.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,0,0.0,0
2014-04-01 00:07:04,217.0,126.71428571428571,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,2.2857142857142856,0,36.857142857142854,0,0.0,0
2014-04-01 00:07:12,212.0,126.42857142857143,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,4.571428571428571,0,30.714285714285715,0,0.0,0
2014-04-01 00:07:20,207.0,126.14285714285714,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,6.857142857142857,0,24.57142857142857,0,0.0,0
2014-04-01 00:07:28,202.0,125.85714285714286,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,9.142857142857142,0,18.428571428571427,0,0.0,0
2014-04-01 00:07:36,197.0,125.57142857142857,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,11.428571428571427,0,12.285714285714285,0,0.0,0
2014-04-01 00:07:44,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,187.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,0,0.0,0,0.0,0
2014-04-01 00:08:00,173.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:08,174.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:16,163.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:24,174.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:32,178.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,181.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,12.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,177.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:08:56,206.5,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0,22.5,0,0.0,0
2014-04-01 00:09:04,197.0,126.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11.0,1
2014-04-01 00:09:12,195.75,120.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,10.75,0,5.5,0
2014-04-01 00:09:20,194.5,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,21.5,0,0.0,0
2014-04-01 00:09:28,133.0,1.0,0,0.0,0,0.0,0,79.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:36,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:44,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:52,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:00,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:08,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:16,126.0,1.0,0,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:24,137.0,1.0,0,0.0,0,0.0,0,76.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:32,141.0,1.0,0,0.0,0,0.0,0,82.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:40,134.0,1.0,0,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:48,123.0,1.0,0,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:56,124.875,1.0,0,0.0,0,0.0,0,77.0,1,0.875,0,0.0,0,1.6666666666666667,0,0.0,0,0.0,0
2014-04-01 00:11:04,126.75,1.0,0,0.0,0,0.0,0,77.0,1,0.75,0,0.0,0,3.3333333333333335,0,0.0,0,0.0,0
2014-04-01 00:11:12,128.625,1.0,0,0.0,0,0.0,0,77.0,1,0.625,0,0.0,0,5.0,0,0.0,0,0.0,0
2014-04-01 00:11:20,130.5,1.0,0,0.0,0,0.0,0,77.0,1,0.5,0,0.0,0,6.666666666666667,0,0.0,0,0.0,0
2014-04-01 00:11:28,132.375,1.0,0,0.0,0,0.0,0,77.0,1,0.375,0,0.0,0,8.333333333333334,0,0.0,0,0.0,0
2014-04-01 00:11:36,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:44,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:52,138.0,1.0,0,0.0,0,0.0,0,77.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:12:00,146.0,1.0,0,0.0,0,0.0,0,80.0,1,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:12:08,144.0,1.0,0,0.0,0,0.0,0,80.75,1,1.0,0,0.0,0,11.25,0,0.0,0,0.0,0
2014-04-01 00:12:16,142.0,1.0,0,0.0,0,0.0,0,81.5,1,1.0,0,0.0,0,7.5,0,0.0,0,0.0,0
2014-04-01 00:12:24,140.0,1.0,0,0.0,0,0.0,0,82.25,1,1.0,0,0.0,0,3.75,0,0.0,0,0.0,0
2014-04-01 00:12:32,138.0,1.0,0,0.0,0,0.0,0,83.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
