Time,Aggregate,Fridge_garage,Fridge_garage_ON,Freezer_garage,Freezer_garage_ON,Fridge_Freezer,Fridge_Freezer_ON,Washer_Dryer_garage,Washer_Dryer_garage_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Desktop_Computer,Desktop_Computer_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON
2014-04-01 00:00:00,177.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:00:08,163.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,180.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,178.0,113.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:00:32,173.5,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,182.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:00:48,184.0,121.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,164.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,170.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,169.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,178.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,49.0,1,0.0,0
2014-04-01 00:01:28,187.0,131.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,183.5,118.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,6.5,0,0.0,0,5.0,0
2014-04-01 00:01:44,177.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,176.5,122.0,1,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,3.5,0,0.0,0,0.0,0
2014-04-01 00:02:00,176.0,123.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,7.0,0,0.0,0,0.0,0
