Time,Aggregate,Toaster,Toaster_ON,Fridge_Freezer,Fridge_Freezer_ON,Freezer,Freezer_ON,Tumble_Dryer,Tumble_Dryer_ON,Dishwasher,Dishwasher_ON,Washing_Machine,Washing_Machine_ON,Television,Television_ON,Microwave,Microwave_ON,Kettle,Kettle_ON
2014-04-01 00:00:00,172.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,210.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,0,0.0,0
2014-04-01 00:00:16,184.5,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,7.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,170.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,164.0,107.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,717.5,118.0,1,0.0,0,0.0,0,0.0,0,550.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,1254.0,121.0,1,0.0,0,0.0,0,0.0,0,1083.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,1266.0,124.0,1,0.0,0,0.0,0,0.0,0,1084.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,1311.0,122.0,1,0.0,0,0.0,0,39.0,1,1092.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,1356.0,120.0,1,0.0,0,0.0,0,78.0,1,1100.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,1404.0,112.0,1,0.0,0,0.0,0,79.0,1,1110.0,1,0.0,0,0.0,0,46.0,0,0.0,0
2014-04-01 00:01:28,1369.0,124.0,1,0.0,0,0.0,0,79.0,1,1105.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,1343.0,111.0,1,0.0,0,0.0,0,74.0,1,1108.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,1348.0,117.0,1,0.0,0,0.0,0,80.0,1,1098.0,1,0.0,0,0.0,0,0.0,0,0.0,0
