Time,Aggregate,Fridge_Freezer_1,Fridge_Freezer_1_ON,Fridge_Freezer_2,Fridge_Freezer_2_ON,Electric_Heater_1,Electric_Heater_1_ON,Electric_Heater_2,Electric_Heater_2_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Computer_Site,Computer_Site_ON,Television_Site,Television_Site_ON,Dehumidifier_Heater,Dehumidifier_Heater_ON
2014-04-01 00:00:00,172.5,112.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,170.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,169.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,176.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,183.0,122.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,173.0,118.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,163.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,169.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,188.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:01:12,187.0,126.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:01:20,179.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,185.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:01:36,177.5,120.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,8.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,160.0,113.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,5.333333333333334,0,0.0,0,0.0,0
2014-04-01 00:01:52,187.75,116.75,1,0.0,0,0.0,0,20.75,0,0.75,0,0.0,0,2.666666666666667,0,0.0,0,0.0,0
2014-04-01 00:02:00,215.5,120.5,1,0.0,0,0.0,0,41.5,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,249.75,121.0,1,0.0,0,0.0,0,62.0,0,0.25,0,0.0,0,0.0,0,11.5,1,2.5,0
2014-04-01 00:02:16,284.0,121.5,1,0.0,0,0.0,0,82.5,0,0.0,0,0.0,0,0.0,0,23.0,1,5.0,0
2014-04-01 00:02:24,274.0,130.0,1,0.0,0,0.0,0,81.0,0,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:02:32,265.0,116.0,1,0.0,0,0.0,0,86.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,251.0,121.0,1,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,221.0,111.0,1,0.0,0,0.0,0,72.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:56,247.0,120.0,1,0.0,0,0.0,0,73.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,242.0,108.0,1,0.0,0,0.0,0,81.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:12,252.0,120.0,1,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,251.0,114.0,1,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:03:28,253.0,110.0,1,0.0,0,0.0,0,77.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:03:36,266.0,129.0,1,0.0,0,0.0,0,80.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,257.0,127.0,1,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,248.0,126.0,1,0.0,0,0.0,0,76.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,249.0,120.0,1,0.0,0,0.0,0,82.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,261.0,117.0,1,0.0,0,0.0,0,75.0,0,1.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:04:16,249.0,118.0,1,0.0,0,0.0,0,72.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,250.0,114.0,1,0.0,0,0.0,0,83.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,273.0,123.0,1,0.0,0,0.0,0,81.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:04:40,248.0,121.5,1,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,259.5,122.25,1,0.0,0,0.0,0,78.5,0,1.0,0,0.0,0,7.5,0,0.0,0,0.0,0
2014-04-01 00:04:56,271.0,123.0,1,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:05:04,254.0,121.0,1,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,299.0,121.0,1,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,47.0,1,0.0,0
2014-04-01 00:05:20,255.0,120.0,1,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:05:28,268.0,120.0,1,0.0,0,0.0,0,80.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:05:36,256.0,122.0,1,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,249.0,118.0,1,0.0,0,0.0,0,81.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,257.0,120.0,1,0.0,0,0.0,0,83.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:00,279.0,122.0,1,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:08,263.0,121.0,1,0.0,0,0.0,0,76.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:06:16,266.0,127.0,1,0.0,0,0.0,0,77.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,249.0,129.0,1,0.0,0,0.0,0,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:32,138.0,1.0,0,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:40,134.0,1.0,0,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,137.0,1.0,0,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:56,140.0,1.0,0,0.0,0,0.0,0,88.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:04,181.0,1.0,0,0.0,0,0.0,0,81.0,0,1.0,0,0.0,0,0.0,0,47.0,1,0.0,0
2014-04-01 00:07:12,157.0,1.0,0,0.0,0,0.0,0,76.0,0,0.5,0,0.0,0,0.0,0,23.5,1,0.0,0
2014-04-01 00:07:20,133.0,1.0,0,0.0,0,0.0,0,71.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,133.5,1.0,0,0.0,0,0.0,0,80.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:36,130.0,1.0,0,0.0,0,0.0,0,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:44,143.0,1.0,0,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,141.0,1.0,0,0.0,0,0.0,0,81.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:00,131.0,1.0,0,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:08,129.0,1.0,0,0.0,0,0.0,0,77.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:16,159.0,1.0,0,0.0,0,0.0,0,85.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:08:24,138.0,1.0,0,0.0,0,0.0,0,80.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:08:32,136.0,1.0,0,0.0,0,0.0,0,81.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,132.0,1.0,0,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:48,153.0,1.0,0,0.0,0,0.0,0,78.0,0,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:08:56,137.0,1.0,0,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:09:04,136.0,1.0,0,0.0,0,0.0,0,77.0,0,0.5,0,0.0,0,0.0,0,0.0,0,4.5,0
2014-04-01 00:09:12,137.0,1.0,0,0.0,0,0.0,0,77.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,0
2014-04-01 00:09:20,128.0,1.0,0,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:28,132.0,1.0,0,0.0,0,0.0,0,82.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:36,121.0,1.0,0,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:44,132.0,1.0,0,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:52,127.0,1.0,0,0.0,0,0.0,0,77.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:00,136.0,1.0,0,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:08,124.0,1.0,0,0.0,0,0.0,0,77.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:16,131.0,1.0,0,0.0,0,0.0,0,76.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:24,143.0,1.0,0,0.0,0,0.0,0,79.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:32,129.0,1.0,0,0.0,0,0.0,0,74.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:40,130.0,1.0,0,0.0,0,0.0,0,82.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:48,133.0,1.0,0,0.0,0,0.0,0,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:56,132.0,1.0,0,0.0,0,0.0,0,84.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
